kode_wilayah,nama_wilayah,tk_sederajat,kb_sederajat,tpa,sps,sd_sederajat,smp_sederajat,sma_sederajat,smk_sederajat,slb,total,nama_kabupaten,kode_provinsi,kode_kabupaten,total_siswa,jumlah_sppg,rasio_siswa_per_sppg,kategori_layanan,kebutuhan_sppg,gap_sppg
220600,KAB. KLUNGKUNG,4498,343,30,169,17139,8840,6222,3910,153,41304,KLUNGKUNG,22,2206,41304,12.0,3442.0,Layanan Cukup,13.768,1.7680000000000007
250200,KAB. BIAK NUMFOR,979,1455,30,1072,19481,9509,6235,2289,92,41142,BIAK NUMFOR,25,2502,41142,9.0,4571.333333333333,Layanan Cukup,13.714,4.714
330200,KAB. PASANGKAYU,4278,373,3,0,20325,8652,4882,2288,60,40861,PASANGKAYU,33,3302,40861,23.0,1776.5652173913043,Layanan Cukup,13.620333333333333,-9.379666666666667
76700,KOTA GUNUNGSITOLI,1973,1566,0,549,16777,9231,5831,4515,196,40638,KOTA GUNUNGSITOLI,76,7670,40638,17.0,2390.470588235294,Layanan Cukup,13.546,-3.4540000000000006
61500,KAB. NAGAN RAYA,2612,3522,0,124,20383,8284,4830,780,103,40638,NAGAN RAYA,61,6150,40638,14.0,2902.714285714286,Layanan Cukup,13.546,-0.4540000000000006
370300,KAB. MAPPI,1167,427,0,0,26524,7491,3245,1527,0,40381,MAPPI,37,3703,40381,1.0,40381.0,Layanan Cukup,13.460333333333333,12.460333333333333
230700,KAB. SUMBAWA BARAT,5118,1360,64,475,17950,8465,4913,1960,65,40370,SUMBAWA BARAT,23,2307,40370,15.0,2691.3333333333335,Layanan Cukup,13.456666666666667,-1.543333333333333
241300,KAB. SUMBA BARAT,2003,3850,0,0,16860,8417,6668,2369,123,40290,SUMBA BARAT,24,2413,40290,3.0,13430.0,Layanan Cukup,13.43,10.43
121300,KAB. PESISIR BARAT,3163,625,0,0,19936,8927,5617,1938,38,40244,PESISIR BARAT,12,1213,40244,14.0,2874.5714285714284,Layanan Cukup,13.414666666666667,-0.5853333333333328
200700,KAB. BOMBANA,4838,206,0,0,19307,8278,6113,1353,43,40138,BOMBANA,20,2007,40138,18.0,2229.8888888888887,Layanan Cukup,13.379333333333333,-4.620666666666667
210300,KAB. BURU,2757,3562,0,324,17991,8085,5283,2040,63,40105,BURU,21,2103,40105,8.0,5013.125,Layanan Cukup,13.368333333333334,5.368333333333334
