kode_wilayah,nama_wilayah,tk_sederajat,kb_sederajat,tpa,sps,sd_sederajat,smp_sederajat,sma_sederajat,smk_sederajat,slb,total,nama_kabupaten,kode_provinsi,kode_kabupaten,total_siswa,jumlah_sppg,rasio_siswa_per_sppg,kategori_layanan,kebutuhan_sppg,gap_sppg
330400,KAB. MAMASA,3859,3014,0,0,16194,7679,4009,3122,52,37929,MAMASA,33,3304,37929,16.0,2370.5625,Layanan Cukup,12.643,-3.3569999999999993
71100,KAB. NIAS,493,1756,0,523,17593,9075,4439,4047,0,37926,NIAS,71,7110,37926,13.0,2917.3846153846152,Layanan Cukup,12.642,-0.35800000000000054
196100,KOTA PAREPARE,3544,86,30,0,17376,8196,5466,3081,122,37901,KOTA PAREPARE,19,1961,37901,20.0,1895.05,Layanan Cukup,12.633666666666667,-7.366333333333333
61700,KAB. ACEH BARAT DAYA,4077,3197,134,175,16343,7588,5137,1110,119,37880,ACEH BARAT DAYA,61,6170,37880,16.0,2367.5,Layanan Cukup,12.626666666666667,-3.373333333333333
300300,KAB. POHUWATO,4887,2745,0,251,17302,6655,4090,1528,82,37540,POHUWATO,30,3003,37540,7.0,5362.857142857143,Layanan Cukup,12.513333333333334,5.513333333333334
72000,KAB. SAMOSIR,953,2270,104,0,16518,9405,6213,2030,0,37493,SAMOSIR,72,7200,37493,8.0,4686.625,Layanan Cukup,12.497666666666667,4.497666666666667
116300,KOTA PAGAR ALAM,3022,1045,75,40,16398,8131,6103,2372,127,37313,KOTA PAGAR ALAM,11,1163,37313,14.0,2665.214285714286,Layanan Cukup,12.437666666666667,-1.5623333333333331
210600,KAB. SERAM BAGIAN TIMUR,4254,1233,0,0,17817,7460,5172,1130,0,37066,SERAM BAGIAN TIMUR,21,2106,37066,6.0,6177.666666666667,Layanan Cukup,12.355333333333334,6.355333333333334
72800,KAB. NIAS UTARA,910,3140,41,154,15449,8094,5152,3189,0,36129,NIAS UTARA,72,7280,36129,14.0,2580.6428571428573,Layanan Cukup,12.043,-1.9570000000000007
241400,KAB. LEMBATA,3504,660,32,23,15573,8413,5381,1917,98,35601,LEMBATA,24,2414,35601,4.0,8900.25,Layanan Cukup,11.867,7.867000000000001
140300,KAB. BARITO UTARA,3943,862,151,202,16341,7233,4765,1634,95,35226,BARITO UTARA,14,1403,35226,5.0,7045.2,Layanan Cukup,11.742,6.742000000000001
180900,KAB. TOJO UNA UNA,3323,2525,0,29,17171,6220,3333,2182,48,34831,TOJO UNA UNA,18,1809,34831,14.0,2487.9285714285716,Layanan Cukup,11.610333333333333,-2.389666666666667
141100,KAB. PULANG PISAU,4713,840,0,0,16390,6928,4889,656,52,34468,PULANG PISAU,14,1411,34468,3.0,11489.333333333334,Layanan Cukup,11.489333333333333,8.489333333333333
300100,KAB. BOALEMO,3924,3105,0,36,14903,6313,4257,1479,157,34174,BOALEMO,30,3001,34174,6.0,5695.666666666667,Layanan Cukup,11.391333333333334,5.391333333333334
330600,KAB. MAMUJU TENGAH,3751,1997,0,0,16374,6348,4291,1206,86,34053,MAMUJU TENGAH,33,3306,34053,16.0,2128.3125,Layanan Cukup,11.351,-4.648999999999999
360800,KAB. DEIYAI,1401,1666,0,309,23597,4069,2051,592,0,33685,DEIYAI,36,3608,33685,1.0,33685.0,Layanan Cukup,11.228333333333333,10.228333333333333
200300,KAB. BUTON,4518,584,0,29,15178,6848,5646,849,26,33678,BUTON,20,2003,33678,11.0,3061.6363636363635,Layanan Cukup,11.226,0.22600000000000087
141000,KAB. GUNUNG MAS,3960,455,0,105,17424,6934,3990,643,33,33544,GUNUNG MAS,14,1410,33544,3.0,11181.333333333334,Layanan Cukup,11.181333333333333,8.181333333333333
210400,KAB. KEPULAUAN TANIMBAR,2582,682,0,45,14989,7814,5374,1394,57,32937,KEPULAUAN TANIMBAR,21,2104,32937,2.0,16468.5,Layanan Cukup,10.979,8.979
370400,KAB. ASMAT,1285,1167,0,375,23245,4396,2074,259,0,32801,ASMAT,37,3704,32801,4.0,8200.25,Layanan Cukup,10.933666666666667,6.933666666666667
201600,KAB. BUTON TENGAH,4299,0,0,0,14748,6689,5283,1361,43,32423,BUTON TENGAH,20,2016,32423,15.0,2161.5333333333333,Layanan Cukup,10.807666666666666,-4.192333333333334
200800,KAB. KOLAKA UTARA,4484,60,0,0,15744,6463,4161,1444,15,32371,KOLAKA UTARA,20,2008,32371,12.0,2697.5833333333335,Layanan Cukup,10.790333333333333,-1.2096666666666671
181200,KAB. MOROWALI UTARA,4157,1830,0,5,14852,6091,3516,1697,18,32166,MOROWALI UTARA,18,1812,32166,2.0,16083.0,Layanan Cukup,10.722,8.722
390400,KAB. SORONG,2559,320,0,14,15538,7331,4141,2109,40,32052,SORONG,39,3904,32052,6.0,5342.0,Layanan Cukup,10.684,4.683999999999999
141200,KAB. MURUNG RAYA,4339,528,10,269,15155,6286,4945,386,85,32003,MURUNG RAYA,14,1412,32003,1.0,32003.0,Layanan Cukup,10.667666666666667,9.667666666666667
380700,KAB. LANNY JAYA,425,489,0,0,17926,8378,4160,589,0,31967,LANNY JAYA,38,3807,31967,6.0,5327.833333333333,Layanan Cukup,10.655666666666667,4.655666666666667
151000,KAB. BALANGAN,4511,1824,83,85,14419,5732,3806,1376,90,31926,BALANGAN,15,1510,31926,9.0,3547.3333333333335,Layanan Cukup,10.642,1.6419999999999995
66400,KOTA SUBULUSSALAM,2688,2284,215,208,14371,6458,4318,1280,79,31901,KOTA SUBULUSSALAM,66,6640,31901,15.0,2126.733333333333,Layanan Cukup,10.633666666666667,-4.366333333333333
260500,KAB. KEPAHIANG,2721,447,156,209,14853,6913,4016,1899,82,31296,KEPAHIANG,26,2605,31296,8.0,3912.0,Layanan Cukup,10.432,2.4320000000000004
210700,KAB. KEPULAUAN ARU,1018,2363,0,624,15049,6472,3757,1468,41,30792,KEPULAUAN ARU,21,2107,30792,2.0,15396.0,Layanan Cukup,10.264,8.264
86600,KOTA PARIAMAN,1497,1557,0,244,11260,6564,4978,4108,205,30413,KOTA PARIAMAN,86,8660,30413,5.0,6082.6,Layanan Cukup,10.137666666666666,5.137666666666666
260700,KAB. KAUR,3969,639,103,0,14121,6213,4135,1112,46,30338,KAUR,26,2607,30338,7.0,4334.0,Layanan Cukup,10.112666666666666,3.112666666666666
250300,KAB. KEPULAUAN YAPEN,773,931,0,409,15597,6374,4628,1339,36,30087,KEPULAUAN YAPEN,25,2503,30087,8.0,3760.875,Layanan Cukup,10.029,2.029
270300,KAB. HALMAHERA BARAT,2619,497,0,110,13948,6441,4845,1473,92,30025,HALMAHERA BARAT,27,2703,30025,8.0,3753.125,Layanan Cukup,10.008333333333333,2.008333333333333
210200,KAB. MALUKU TENGGARA,794,3581,0,307,13174,6243,3933,1795,95,29922,MALUKU TENGGARA,21,2102,29922,4.0,7480.5,Layanan Cukup,9.974,5.974
191300,KAB. KEPULAUAN SELAYAR,4040,465,53,0,13351,6183,3633,1760,68,29553,KEPULAUAN SELAYAR,19,1913,29553,12.0,2462.75,Layanan Cukup,9.851,-2.148999999999999
300500,KAB. GORONTALO UTARA,2482,2539,0,89,13480,5675,4229,588,70,29152,GORONTALO UTARA,30,3005,29152,4.0,7288.0,Layanan Cukup,9.717333333333332,5.7173333333333325
140200,KAB. BARITO SELATAN,3319,642,9,0,12961,6147,4499,1325,96,28998,BARITO SELATAN,14,1402,28998,5.0,5799.6,Layanan Cukup,9.666,4.666
180100,KAB. BANGGAI KEPULAUAN,3113,1718,0,0,13010,5930,3374,1618,62,28825,BANGGAI KEPULAUAN,18,1801,28825,12.0,2402.0833333333335,Layanan Cukup,9.608333333333333,-2.3916666666666675
276100,KOTA TIDORE KEPULAUAN,3226,835,0,0,12228,6236,5142,1073,76,28816,KOTA TIDORE KEPULAUAN,27,2761,28816,9.0,3201.777777777778,Layanan Cukup,9.605333333333334,0.6053333333333342
176300,KOTA KOTAMOBAGU,2069,293,7,18,10833,6134,5518,3695,124,28691,KOTA KOTAMOBAGU,17,1763,28691,7.0,4098.714285714285,Layanan Cukup,9.563666666666666,2.5636666666666663
260900,KAB. BENGKULU TENGAH,1198,2372,70,0,12565,6486,4550,1029,36,28306,BENGKULU TENGAH,26,2609,28306,7.0,4043.714285714286,Layanan Cukup,9.435333333333332,2.4353333333333325
200600,KAB. WAKATOBI,3531,1522,23,0,12242,5513,4771,319,32,27953,WAKATOBI,20,2006,27953,9.0,3105.8888888888887,Layanan Cukup,9.317666666666666,0.3176666666666659
270700,KAB. KEPULAUAN SULA,2499,2280,0,0,11448,5652,4398,1235,60,27572,KEPULAUAN SULA,27,2707,27572,9.0,3063.5555555555557,Layanan Cukup,9.190666666666667,0.19066666666666698
201100,KAB. KOLAKA TIMUR,3258,355,0,0,12729,5529,4145,1298,40,27354,KOLAKA TIMUR,20,2011,27354,8.0,3419.25,Layanan Cukup,9.118,1.1180000000000003
242100,KAB. SABU RAIJUA,468,2926,0,274,11962,6002,4985,600,28,27245,SABU RAIJUA,24,2421,27245,2.0,13622.5,Layanan Cukup,9.081666666666667,7.081666666666667
131200,KAB. KAYONG UTARA,1604,702,0,285,13737,5926,3890,1061,38,27243,KAYONG UTARA,13,1312,27243,15.0,1816.2,Layanan Cukup,9.081,-5.9190000000000005
76500,KOTA SIBOLGA,1424,1383,0,41,10494,5720,4814,3221,65,27162,KOTA SIBOLGA,76,7650,27162,11.0,2469.2727272727275,Layanan Cukup,9.054,-1.9459999999999997
290600,KAB. BELITUNG TIMUR,1456,1919,27,52,12623,5906,3188,1741,130,27042,BELITUNG TIMUR,29,2906,27042,11.0,2458.3636363636365,Layanan Cukup,9.014,-1.9860000000000007
210800,KAB. MALUKU BARAT DAYA,2691,528,0,39,12984,6003,3719,976,0,26940,MALUKU BARAT DAYA,21,2108,26940,3.0,8980.0,Layanan Cukup,8.98,5.98
201400,KAB. BUTON SELATAN,3252,634,0,0,11999,5334,4588,466,7,26280,BUTON SELATAN,20,2014,26280,9.0,2920.0,Layanan Cukup,8.76,-0.2400000000000002
61600,KAB. ACEH JAYA,2905,2552,1,322,11268,5002,3146,1008,74,26278,ACEH JAYA,61,6160,26278,11.0,2388.909090909091,Layanan Cukup,8.759333333333334,-2.240666666666666
61800,KAB. GAYO LUES,2150,1162,75,0,13459,5303,3452,392,106,26099,GAYO LUES,61,6180,26099,17.0,1535.235294117647,Layanan Cukup,8.699666666666667,-8.300333333333333
86400,KOTA SOLOK,1473,1012,139,0,9509,5466,4802,3361,158,25920,KOTA SOLOK,86,8640,25920,13.0,1993.8461538461538,Layanan Cukup,8.64,-4.359999999999999
141300,KAB. BARITO TIMUR,3252,294,16,234,11976,5373,3165,1427,82,25819,BARITO TIMUR,14,1413,25819,5.0,5163.8,Layanan Cukup,8.606333333333334,3.6063333333333336
106100,KOTA SUNGAI PENUH,2157,1523,68,512,9690,5042,5068,1577,156,25793,KOTA SUNGAI PENUH,10,1061,25793,11.0,2344.818181818182,Layanan Cukup,8.597666666666667,-2.402333333333333
360600,KAB. DOGIYAI,389,0,0,0,19101,4222,962,401,291,25366,DOGIYAI,36,3606,25366,0.0,0.0,Layanan Cukup,8.455333333333334,8.455333333333334
140900,KAB. LAMANDAU,3638,1025,14,37,12194,4546,2338,1325,60,25177,LAMANDAU,14,1409,25177,2.0,12588.5,Layanan Cukup,8.392333333333333,6.392333333333333
270600,KAB. HALMAHERA TIMUR,2773,689,0,0,11375,5397,3551,950,58,24793,HALMAHERA TIMUR,27,2706,24793,6.0,4132.166666666667,Layanan Cukup,8.264333333333333,2.264333333333333
72700,KAB. NIAS BARAT,2079,637,0,99,10664,5628,3802,1768,25,24702,NIAS BARAT,72,7270,24702,8.0,3087.75,Layanan Cukup,8.234,0.23399999999999999
210900,KAB. BURU SELATAN,2320,2711,0,0,10631,4667,2716,1094,32,24171,BURU SELATAN,21,2109,24171,3.0,8057.0,Layanan Cukup,8.057,5.057
61100,KAB. SIMEULUE,1969,1045,35,0,10789,5261,4056,622,92,23869,SIMEULUE,61,6110,23869,10.0,2386.9,Layanan Cukup,7.956333333333333,-2.0436666666666667
171000,KAB. MINAHASA TENGGARA,2181,1357,25,213,11280,4528,2719,1332,96,23731,MINAHASA TENGGARA,17,1710,23731,6.0,3955.1666666666665,Layanan Cukup,7.910333333333333,1.910333333333333
201300,KAB. MUNA BARAT,2611,851,0,101,10336,5012,3623,1035,119,23688,MUNA BARAT,20,2013,23688,14.0,1692.0,Layanan Cukup,7.896,-6.104
81000,KAB. KEPULAUAN MENTAWAI,2506,121,0,0,11427,4999,4178,322,31,23584,KEPULAUAN MENTAWAI,81,8100,23584,0.0,0.0,Layanan Cukup,7.8613333333333335,7.8613333333333335
260600,KAB. LEBONG,1660,889,173,335,11732,4654,2825,1186,54,23508,LEBONG,26,2606,23508,3.0,7836.0,Layanan Cukup,7.836,4.836
241800,KAB. SUMBA TENGAH,1163,2291,33,525,9959,4865,3446,1064,72,23418,SUMBA TENGAH,24,2418,23418,1.0,23418.0,Layanan Cukup,7.806,6.806
86200,KOTA PADANG PANJANG,1362,898,265,0,6995,5545,6065,1756,313,23199,KOTA PADANG PANJANG,86,8620,23199,7.0,3314.1428571428573,Layanan Cukup,7.733,0.7329999999999997
340100,KAB. MALINAU,1510,1887,0,0,10345,4883,3262,877,139,22903,MALINAU,34,3401,22903,3.0,7634.333333333333,Layanan Cukup,7.634333333333333,4.634333333333333
170300,KAB. KEPULAUAN SANGIHE,1215,1584,0,86,10101,5011,2736,1897,64,22694,KEPULAUAN SANGIHE,17,1703,22694,9.0,2521.5555555555557,Layanan Cukup,7.564666666666667,-1.4353333333333333
320100,KAB. FAK FAK,987,1780,0,20,10568,4470,2881,1038,0,21744,FAK FAK,32,3201,21744,7.0,3106.285714285714,Layanan Cukup,7.248,0.24800000000000022
176200,KOTA TOMOHON,1544,306,0,16,8510,5030,3944,2192,116,21658,KOTA TOMOHON,17,1762,21658,11.0,1968.909090909091,Layanan Cukup,7.219333333333333,-3.780666666666667
370200,KAB. BOVEN DIGOEL,1273,329,0,0,12993,4375,1456,1167,0,21593,BOVEN DIGOEL,37,3702,21593,1.0,21593.0,Layanan Cukup,7.197666666666667,6.197666666666667
380400,KAB. TOLIKARA,336,175,0,0,15221,4475,1209,148,0,21564,TOLIKARA,38,3804,21564,0.0,0.0,Layanan Cukup,7.188,7.188
310400,KAB. LINGGA,631,657,23,1274,9779,4643,3704,451,50,21212,LINGGA,31,3104,21212,5.0,4242.4,Layanan Cukup,7.070666666666667,2.070666666666667
216100,KOTA TUAL,678,1852,0,384,9436,4333,3279,1049,22,21033,KOTA TUAL,21,2161,21033,4.0,5258.25,Layanan Cukup,7.011,3.011
270100,KAB. PULAU TALIABU,1805,3923,0,61,8354,3668,2151,726,14,20702,PULAU TALIABU,27,2701,20702,7.0,2957.4285714285716,Layanan Cukup,6.900666666666667,-0.09933333333333305
310300,KAB. NATUNA,2136,925,0,0,8879,4495,3752,385,76,20648,NATUNA,31,3103,20648,12.0,1720.6666666666667,Layanan Cukup,6.882666666666666,-5.117333333333334
320400,KAB. TELUK BINTUNI,2040,616,0,0,10149,4224,2743,603,0,20375,TELUK BINTUNI,32,3204,20375,5.0,4075.0,Layanan Cukup,6.791666666666667,1.791666666666667
200900,KAB. KONAWE UTARA,2519,987,0,0,9540,3807,2934,285,46,20118,KONAWE UTARA,20,2009,20118,5.0,4023.6,Layanan Cukup,6.706,1.7060000000000004
320200,KAB. KAIMANA,1099,898,0,0,10592,3868,2249,1080,0,19786,KAIMANA,32,3202,19786,6.0,3297.6666666666665,Layanan Cukup,6.5953333333333335,0.5953333333333335
270200,KAB. HALMAHERA TENGAH,2563,86,0,0,9499,3945,2289,1290,34,19706,HALMAHERA TENGAH,27,2702,19706,1.0,19706.0,Layanan Cukup,6.568666666666667,5.568666666666667
170400,KAB. KEPULAUAN TALAUD,1654,1925,0,0,8306,4198,2848,709,64,19704,KEPULAUAN TALAUD,17,1704,19704,5.0,3940.8,Layanan Cukup,6.568,1.5679999999999996
201000,KAB. BUTON UTARA,2799,452,0,0,8720,3984,3049,611,55,19670,BUTON UTARA,20,2010,19670,5.0,3934.0,Layanan Cukup,6.556666666666667,1.5566666666666666
390200,KAB. RAJA AMPAT,932,550,0,72,10272,4325,2669,692,12,19524,RAJA AMPAT,39,3902,19524,7.0,2789.1428571428573,Layanan Cukup,6.508,-0.492
181100,KAB. BANGGAI LAUT,2120,783,0,90,8832,3960,2081,1268,31,19165,BANGGAI LAUT,18,1811,19165,7.0,2737.8571428571427,Layanan Cukup,6.388333333333334,-0.6116666666666664
270800,KAB. PULAU MOROTAI,716,3612,0,49,7719,3126,2339,835,45,18441,PULAU MOROTAI,27,2708,18441,3.0,6147.0,Layanan Cukup,6.147,3.1470000000000002
170800,KAB. BOLAANG MONGONDOW UTARA,1656,1472,0,22,8204,3556,2391,890,0,18191,BOLAANG MONGONDOW UTARA,17,1708,18191,2.0,9095.5,Layanan Cukup,6.063666666666666,4.063666666666666
252000,KAB. KEEROM,1667,170,24,0,9385,3776,2305,856,0,18183,KEEROM,25,2520,18183,6.0,3030.5,Layanan Cukup,6.061,0.06099999999999994
380200,KAB. PEGUNUNGAN BINTANG,594,1632,0,0,10223,3871,1422,416,0,18158,PEGUNUNGAN BINTANG,38,3802,18158,0.0,0.0,Layanan Cukup,6.052666666666667,6.052666666666667
171200,KAB. BOLAANG MONGONDOW SELATAN,2124,824,0,0,7854,3232,1566,813,0,16413,BOLAANG MONGONDOW SELATAN,17,1712,16413,6.0,2735.5,Layanan Cukup,5.471,-0.5289999999999999
171100,KAB. BOLAANG MONGONDOW TIMUR,1490,853,0,10,7704,3249,1124,1120,22,15572,BOLAANG MONGONDOW TIMUR,17,1711,15572,3.0,5190.666666666667,Layanan Cukup,5.190666666666667,2.190666666666667
140800,KAB. SUKAMARA,2074,839,30,65,7096,2952,1730,631,19,15436,SUKAMARA,14,1408,15436,1.0,15436.0,Layanan Cukup,5.145333333333333,4.145333333333333
390300,KAB. SORONG SELATAN,691,188,0,46,7641,3777,1843,940,0,15126,SORONG SELATAN,39,3903,15126,3.0,5042.0,Layanan Cukup,5.042,2.042
71800,KAB. PAKPAK BHARAT,521,1244,18,21,6535,3234,2377,479,24,14453,PAKPAK BHARAT,71,7180,14453,3.0,4817.666666666667,Layanan Cukup,4.817666666666667,1.8176666666666668
86300,KOTA SAWAHLUNTO,881,201,45,940,5888,2266,1465,1288,166,13140,KOTA SAWAHLUNTO,86,8630,13140,3.0,4380.0,Layanan Cukup,4.38,1.38
251900,KAB. SARMI,680,558,0,142,6183,2739,2070,306,0,12678,SARMI,25,2519,12678,3.0,4226.0,Layanan Cukup,4.226,1.226
320300,KAB. TELUK WONDAMA,987,0,0,0,6436,2749,1729,325,0,12226,TELUK WONDAMA,32,3203,12226,2.0,6113.0,Layanan Cukup,4.075333333333333,2.075333333333333
310500,KAB. KEPULAUAN ANAMBAS,1026,904,28,0,5410,2387,1841,348,14,11958,KEPULAUAN ANAMBAS,31,3105,11958,3.0,3986.0,Layanan Cukup,3.986,0.9860000000000002
252800,KAB. MAMBERAMO RAYA,488,340,0,0,7073,2546,1001,286,0,11734,MAMBERAMO RAYA,25,2528,11734,0.0,0.0,Layanan Cukup,3.9113333333333333,3.9113333333333333
170900,KAB. KEP. SIAU TAGULANDANG BIARO,846,378,0,0,5286,2661,1704,694,13,11582,KEPULAUAN SIAU TAGULANDANG BIARO,17,1709,11582,11.0,1052.909090909091,Layanan Cukup,3.8606666666666665,-7.139333333333333
380600,KAB. YALIMO,186,0,34,0,7181,2391,1033,249,0,11074,YALIMO,38,3806,11074,0.0,0.0,Layanan Cukup,3.691333333333333,3.691333333333333
201200,KAB. KONAWE KEPULAUAN,1464,522,0,0,4684,1919,1331,200,58,10178,KONAWE KEPULAUAN,20,2012,10178,2.0,5089.0,Layanan Cukup,3.3926666666666665,1.3926666666666665
360200,KAB. PUNCAK JAYA,308,45,22,166,6569,1791,788,396,0,10085,PUNCAK JAYA,36,3602,10085,0.0,0.0,Layanan Cukup,3.361666666666667,3.361666666666667
66000,KOTA SABANG,1051,303,73,23,4548,2059,1437,387,59,9940,KOTA SABANG,66,6600,9940,3.0,3313.3333333333335,Layanan Cukup,3.3133333333333335,0.31333333333333346
321200,KAB. MANOKWARI SELATAN,531,480,0,0,4589,2034,1408,191,0,9233,MANOKWARI SELATAN,32,3212,9233,4.0,2308.25,Layanan Cukup,3.0776666666666666,-0.9223333333333334
252600,KAB. WAROPEN,92,248,0,531,4419,1945,1271,343,30,8879,WAROPEN,25,2526,8879,2.0,4439.5,Layanan Cukup,2.9596666666666667,0.9596666666666667
252700,KAB. SUPIORI,742,87,0,357,3928,1765,1682,53,0,8614,SUPIORI,25,2527,8614,1.0,8614.0,Layanan Cukup,2.8713333333333333,1.8713333333333333
161200,KAB. MAHAKAM ULU,1073,523,5,0,4025,1714,1083,120,4,8547,MAHAKAM ULU,16,1612,8547,0.0,0.0,Layanan Cukup,2.849,2.849
340300,KAB. TANA TIDUNG,310,910,105,0,3723,1562,1026,68,46,7750,TANA TIDUNG,34,3403,7750,1.0,7750.0,Layanan Cukup,2.5833333333333335,1.5833333333333335
380800,KAB. NDUGA,259,0,0,0,4804,1526,275,241,0,7105,NDUGA,38,3808,7105,0.0,0.0,Layanan Cukup,2.368333333333333,2.368333333333333
390500,KAB. TAMBRAUW,251,202,0,0,3946,1393,495,266,0,6553,TAMBRAUW,39,3905,6553,0.0,0.0,Layanan Cukup,2.1843333333333335,2.1843333333333335
321100,KAB. PEGUNUNGAN ARFAK,80,345,0,6,4218,1186,510,79,0,6424,PEGUNUNGAN ARFAK,32,3211,6424,0.0,0.0,Layanan Cukup,2.1413333333333333,2.1413333333333333
380500,KAB. MAMBERAMO TENGAH,290,0,0,0,3975,1419,609,0,0,6293,MAMBERAMO TENGAH,38,3805,6293,0.0,0.0,Layanan Cukup,2.0976666666666666,2.0976666666666666
360700,KAB. INTAN JAYA,46,0,0,0,4788,960,107,0,0,5901,INTAN JAYA,36,3607,5901,0.0,0.0,Layanan Cukup,1.967,1.967
10100,KAB. ADM. KEP. SERIBU,531,13,0,664,2539,1123,573,382,0,5825,ADM. KEPULAUAN SERIBU,10,1010,5825,7.0,832.1428571428571,Layanan Cukup,1.9416666666666667,-5.058333333333334
390100,KAB. MAYBRAT,346,0,0,0,3260,1110,500,114,0,5330,MAYBRAT,39,3901,5330,0.0,0.0,Layanan Cukup,1.7766666666666666,1.7766666666666666
360500,KAB. PUNCAK,78,72,0,0,3215,778,396,46,0,4585,PUNCAK,36,3605,4585,0.0,0.0,Layanan Cukup,1.5283333333333333,1.5283333333333333
