kode_wilayah,kode_provinsi,kode_kabupaten,nama_kabupaten,sd_sederajat,smp_sederajat,sma_sederajat,smk_sederajat,total_siswa,jumlah_sppg,flag_tanpa_sppg,rasio_siswa_per_sppg,kebutuhan_sppg,gap_sppg,kategori_layanan
51300,51,5130,KEDIRI,135383,75969,33891,26722,337162,182.0,0,1852.5384615384614,112.38733333333333,-69.61266666666667,"Layanan Sesuai (High Demand, High Supply)"
32800,32,3280,TEGAL,161990,69059,16818,40623,335857,168.0,0,1999.1488095238096,111.95233333333333,-56.04766666666667,"Layanan Sesuai (High Demand, High Supply)"
52500,52,5250,BANYUWANGI,140700,75028,31262,36474,335239,144.0,0,2328.0486111111113,111.74633333333334,-32.25366666666666,"Layanan Sesuai (High Demand, High Supply)"
280100,28,2801,PANDEGLANG,158540,71591,31626,25282,325270,188.0,0,1730.159574468085,108.42333333333333,-79.57666666666667,"Layanan Sesuai (High Demand, High Supply)"
50400,50,5040,JOMBANG,116167,77165,46241,31080,323088,144.0,0,2243.6666666666665,107.696,-36.304,"Layanan Sesuai (High Demand, High Supply)"
196000,19,1960,KOTA MAKASSAR,146010,69413,47978,22456,314058,122.0,0,2574.245901639344,104.686,-17.313999999999993,"Layanan Sesuai (High Demand, High Supply)"
50100,50,5010,GRESIK,125723,59888,34071,23760,308074,145.0,0,2124.648275862069,102.69133333333333,-42.30866666666667,"Layanan Sesuai (High Demand, High Supply)"
316000,31,3160,KOTA BATAM,148877,67291,35618,29475,305453,135.0,0,2262.614814814815,101.81766666666667,-33.18233333333333,"Layanan Sesuai (High Demand, High Supply)"
32700,32,3270,PEMALANG,148163,63792,16792,34758,300937,143.0,0,2104.4545454545455,100.31233333333333,-42.68766666666667,"Layanan Sesuai (High Demand, High Supply)"
230200,23,2302,LOMBOK TENGAH,129270,59439,39164,13934,300271,172.0,0,1745.7616279069769,100.09033333333333,-71.90966666666667,"Layanan Sesuai (High Demand, High Supply)"
31500,31,3150,GROBOGAN,129113,62505,29655,26924,294499,167.0,0,1763.4670658682635,98.16633333333333,-68.83366666666667,"Layanan Sesuai (High Demand, High Supply)"
120200,12,1202,LAMPUNG TENGAH,132629,68348,34093,20981,292749,166.0,0,1763.5481927710844,97.583,-68.417,"Layanan Sesuai (High Demand, High Supply)"
31800,31,3180,PATI,116752,62726,32752,24146,286771,165.0,0,1738.0060606060606,95.59033333333333,-69.40966666666667,"Layanan Sesuai (High Demand, High Supply)"
32000,32,3200,JEPARA,117478,58337,30282,22779,282945,175.0,0,1616.8285714285714,94.315,-80.685,"Layanan Sesuai (High Demand, High Supply)"
21600,21,2160,MAJALENGKA,124312,61028,29532,24987,282639,155.0,0,1823.4774193548387,94.213,-60.787000000000006,"Layanan Sesuai (High Demand, High Supply)"
30500,30,3050,KEBUMEN,119753,61222,20493,37184,277659,169.0,0,1642.9526627218936,92.553,-76.447,"Layanan Sesuai (High Demand, High Supply)"
32100,32,3210,DEMAK,121878,57664,32647,16920,276599,151.0,0,1831.7814569536424,92.19966666666667,-58.80033333333333,"Layanan Sesuai (High Demand, High Supply)"
50700,50,5070,LAMONGAN,102538,55682,34269,19773,274626,166.0,0,1654.3734939759036,91.542,-74.458,"Layanan Sesuai (High Demand, High Supply)"
21500,21,2150,KUNINGAN,113150,60110,28184,26919,269986,168.0,0,1607.0595238095239,89.99533333333333,-78.00466666666667,"Layanan Sesuai (High Demand, High Supply)"
50500,50,5050,BOJONEGORO,99743,53606,30226,23723,267458,141.0,0,1896.8652482269504,89.15266666666666,-51.84733333333334,"Layanan Sesuai (High Demand, High Supply)"
96000,96,9600,KOTA PEKANBARU,121037,55056,35006,30316,263881,133.0,0,1984.0676691729323,87.96033333333334,-45.03966666666666,"Layanan Sesuai (High Demand, High Supply)"
26100,26,2610,KOTA BOGOR,117799,56820,27252,33324,258360,132.0,0,1957.2727272727273,86.12,-45.879999999999995,"Layanan Sesuai (High Demand, High Supply)"
21400,21,2140,CIAMIS,109713,59114,27611,19643,257580,173.0,0,1488.9017341040462,85.86,-87.14,"Layanan Sesuai (High Demand, High Supply)"
30800,30,3080,MAGELANG,111829,54605,24074,21949,256526,146.0,0,1757.027397260274,85.50866666666667,-60.49133333333333,"Layanan Sesuai (High Demand, High Supply)"
21000,21,2100,SUMEDANG,112704,57095,24794,22969,254537,147.0,0,1731.544217687075,84.84566666666667,-62.15433333333333,"Layanan Sesuai (High Demand, High Supply)"
